id,condition,seller,brand,model,name,category,processor,graphics,ram,storage,display,display_size,display_resolution,product_url,price,image_url,in_stock
334,New,abc-shop,Asus,90NB0WK3-M00JS0,ASUS VivoBook S15 OLED K3502ZA-OLED005W - i5 12500H 16GB DDR4 512GB NVMe Intel Iris Xe OLED FHD 60Hz WIN 11,Business,Intel Core i5 12500H,Intel Iris Xe,16,512,"15.6 Inch,  2.8k (2880x1620), refresh rate: 60Hz",15.6,2.8K,https://www.abcshop-eg.com/en/shop/90nb0wk3-m00js0-asus-vivobook-s15-oled-k3502za-oled005w-1008?page=4&category=13&order=on_hand+desc,32999,https://www.abcshop-eg.com/web/image/product.template/1008/image_512/%5B90NB0WK3-M00JS0%5D%20ASUS%20VivoBook%20S15%20OLED%20K3502ZA-OLED005W?unique=3366e1f,out of stock
335,New,btech,Asus,Vivobook S15 S5507QA-MA037W,"Asus Vivobook S15 S5507QA-MA037W Laptop, Snapdragon X Plus X1P 42 100, 512GB SSD, 16GB RAM LPDDR5X ,15.6 Inch 3K, 120Hz, Qualcomm Adreno Graphics, Windows 11 - Silver",,Snapdragon X Plus X1P 42 100,Qualcomm Adreno,16,512,"15.6 Inch, 2.8K, ( 2880x1620 )",15.6,2.8K,https://btech.com/en/asus-vivobook-s15-s5507qa-ma037w-snapdragon-x-plus-x1p-42-100-ssd-512gb-16gb-ram-lpddr5x-15-6-inch-120hz-win11-silver.html,"74,299",https://btech.com/media/catalog/product/cache/3688dc129a5ab19d7cb91894dd85ffe3/5/6/56f12fcb85e4e0cd0e2305d9803fbb6e34276931c50e888c74276fdd5775146e.jpeg,in stock
336,New,dream 2000,Asus,Vivobook S15 S5507QA-MA037W,"Asus Vivobook S15 S5507QA-MA037W Laptop, Snapdragon X Plus X1P 42100, Qualcomm Adreno GPU, 16GB Ram, 512GB SSD, 15.6"" OLED, Win11 - Cool Silver",Business,Snapdragon X Plus X1P 42100,Qualcomm Adreno GPU,16,512,"15.6-inch, 3K (2880 x 1620) OLED 16:9 aspect ratio, 0.2ms response time, 120Hz refresh rate, 600nits HDR peak brightness, 100% DCI-P3 color gamut",15.6,3k,https://dream2000.com/en/asus-vivobook-s15-s5507qa-ma037w-laptop-snapdragonr-x-plus-x1p-42100-qualcommr-adrenotm-gpu-16gb-ram-512gb-ssd-15-6-oled-win11-cool-silver.html,69500,https://r2media.horizondm.com/catalog/product/cache/eb4305db09fb6492bb059b8131f647e3/_/-/_-_2025-03-09t114648.446.jpg,in stock
337,New,btech,Asus,Vivobook X1504VA-NJ017W,"Asus Vivobook X1504VA-NJ017W Laptop, Intel Core i7-1355U, 512GB SSD, 8GB RAM, 15.6 Inch, FHD Display, Intel Iris Graphics, Windows 11- Quiet Blue",Work,Intel Core i7 1355U,Intel Iris Xe,8,512,"15.6 Inch, FHD, ( 1920x1080 )",15.6,FHD,https://btech.com/en/asus-vivobook-x1504va-nj017w-laptop-i7-1355u-512b-ssd-8gb-ram-15-6-inch-intel-iris-windows-11-quiet-blue.html,"28,818",https://btech.com/media/catalog/product/cache/3688dc129a5ab19d7cb91894dd85ffe3/3/b/3bc4a24c5601a2d5942d2598d0fabeb3721ef16d98f353e8bf3ec1fb1902738b.jpeg,in stock
338,New,dream 2000,Asus,D1502YA-NJ007W,"Asus Vivobook15 D1502YA-NJ007W AMD Ryzen 7  7730U , 8GB , 512 SSD , Redon 15.6"" FHD , win 11,  Quiet Blue",Business,AMD Ryzen 7 7730U,AMD Radeon,8,512,15.6-inch - FHD (1920 x 1080) 16:9 aspect ratio,15.6,FHD ,https://dream2000.com/en/asus-vivobook15-d1502ya-nj007w-amd-ryzentm-7-7730u-8gb-512-ssd-redon-15-6-fhd-win-11-quiet-blue.html,27500,https://r2media.horizondm.com/catalog/product/cache/eb4305db09fb6492bb059b8131f647e3/a/s/asus-d1502ya-nj007w-.jpg,in stock
339,New,dream 2000,Asus,X1504VA-NJ017W - 90NB10J1-M013N0,"Asus X1504VA-NJ017WIntel Core I7-1355U RAM 8GB , 512GB SSD , UHD , 15.6 inch FHD - Win 11 - Quiet Blue",Gaming,Intel Core i7 1355U,Intel UHD,8,512,"15.6-inch , FHD (1920 x 1080) 16:9 aspect ratio , LED Backlit , 60Hz refresh rate ,  250nits",15.6,FHD ,https://dream2000.com/en/asus-x1504va-nj017w-intelr-coretm-i7-1355u-ram-8gb-512gb-ssd-uhd-15-6-inch-fhd-win-11-quiet-blue.html,30700,https://r2media.horizondm.com/catalog/product/cache/eb4305db09fb6492bb059b8131f647e3/a/s/asus-x1504va-nj017w-5.jpg,in stock
341,New,abc-shop,Asus,90NB0TZ2-M00FH0,ASUS X515EP-EJ007W - i7 1165G7 8GB DDR4 512GB NVMe MX330 IPS FHD 60Hz WIN 11,Business,Intel Core i7 1165G7,NVIDIA MX 330,8,512,"15.6 Inch,  Full HD (1920x1080), refresh rate: 60Hz",15.6,FHD,https://www.abcshop-eg.com/en/shop/90nb0tz2-m00fh0-asus-x515ep-ej007w-1154?page=3&category=13&order=on_hand+desc,31999,https://www.abcshop-eg.com/web/image/product.template/1154/image_512/%5B90NB0TZ2-M00FH0%5D%20ASUS%20X515EP-EJ007W?unique=3366e1f,out of stock
344,New,abc-shop,Asus,90NB0IM6-M22970,ASUS X543UB-DM1405 - i7 8550U 8GB DDR4 1TB NVMe MX130 IPS FHD 60Hz DOS,Business,Intel Core i7 8550U,NVIDIA MX 130,8,1024,"15.6 Inch,  Full HD (1920x1080), refresh rate: 60Hz",15.6,FHD,https://www.abcshop-eg.com/en/shop/90nb0im6-m22970-asus-x543ub-dm1405-1738?page=2&category=13&order=on_hand+desc,31999,https://www.abcshop-eg.com/web/image/product.template/1738/image_512/%5B90NB0IM6-M22970%5D%20ASUS%20X543UB-DM1405?unique=9c131f9,out of stock
345,New,abc-shop,Asus,90NB0SL1-M00C20,ASUS ZenBook 13 OLED UX325EA-OLED007W - i7 1165G7 16GB LPDDR4X 1TB NVMe Iris Xe OLED FHD 60Hz WIN 11,Business,Intel Core i7 1165G7,Intel Iris Xe,16,1024,"13.3 Inch,  Full HD (1920x1080), refresh rate: 60Hz",13.3,FHD,https://www.abcshop-eg.com/en/shop/90nb0sl1-m00c20-asus-zenbook-13-oled-ux325ea-oled007w-311?page=9&category=13&order=on_hand+desc,34999,https://www.abcshop-eg.com/web/image/product.template/311/image_512/%5B90NB0SL1-M00C20%5D%20ASUS%20ZenBook%2013%20OLED%20UX325EA-OLED007W?unique=3366e1f,out of stock
346,New,abc-shop,Asus,90NB0V31-M005A0,ASUS ZenBook 14 Flip OLED UN5401QA-OLED007W - R7 5800H 16GB LPDDR4X 1TB NVMe AMD Radeon OLED FHD 90Hz WIN 11,Business,AMD Ryzen 7 5800H,AMD Radeon,16,1024,"15.6 Inch,  2.8K (2880x1800), refresh rate: 90Hz",15.6,2.8K,https://www.abcshop-eg.com/en/shop/90nb0v31-m005a0-asus-zenbook-14-flip-oled-un5401qa-oled007w-1144?page=4&category=13&order=on_hand+desc,53999,https://www.abcshop-eg.com/web/image/product.template/1144/image_512/%5B90NB0V31-M005A0%5D%20ASUS%20ZenBook%2014%20Flip%20OLED%20UN5401QA-OLED007W?unique=3366e1f,out of stock
